"Registration";"Lfz.-Muster/Typ";"Hersteller - Eigentümer/Halter"
"HB-KMS";"ROBIN DR 400/140 B";"ROBIN AIRCRAFT"
"HB-KMY";"A-1B";"AVIAT AIRCRAFT INC."
"HB-KOB";"35-C33";"BEECH AIRCRAFT CORPORATION"
"HB-KOE";"ROBIN DR 400/180";"APEX AIRCRAFT"
"HB-KOF";"ROBIN DR 400/140 B";"AVIONS PIERRE ROBIN S.A."
"HB-KOH";"TB 20";"EADS SOCATA"
"HB-KOI";"7GCAA";"AMERICAN CHAMPION AIRCRAFT CORP."
"HB-KOL";"TBM700 B";"EADS SOCATA"
"HB-KOM";"TB 20";"SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES"
"HB-KOP";"P2002-JF";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KOR";"TBM700 N";"EADS SOCATA"
"HB-KOU";"P2002-JF";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KOV";"XL-2";"LIBERTY AEROSPACE INCORPORATED"
"HB-KOW";"ROBIN DR 400/180";"CONSTRUCTIONS AERONAUTIQUES DE BOURGOGNE"
"HB-KOX";"P2002-JF";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KOY";"F.260B";"SIAI MARCHETTI S.P.A."
"HB-KOZ";"P2002-JF";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KPA";"P2002-JF";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KPB";"P2002-JF";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KPC";"P2002-JF";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KPE";"P2002-JF";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KPG";"P2002-JF";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KPK";"CEA DR 221 (MODIFIED)";"CENTRE EST AERONAUTIQUE"
"HB-KPN";"TB 20";"EADS SOCATA"
"HB-KPS";"SR20";"CIRRUS DESIGN CORPORATION"
"HB-KRJ";"TBM700 N";"SOCATA"
"HB-KRT";"A-1B";"AVIAT AIRCRAFT INC."
"HB-KTG";"F.260D";"SIAI MARCHETTI S.P.A."
"HB-KWM";"SR22T";"CIRRUS DESIGN CORPORATION"
"HB-LAD";"PA-30";"PIPER AIRCRAFT CORPORATION"
"HB-LBM";"310F";"CESSNA AIRCRAFT COMPANY"
"HB-LDH";"PA-23-250";"PIPER AIRCRAFT CORPORATION"
"HB-LEL";"PA-34-200";"PIPER AIRCRAFT CORPORATION"
"HB-LEM";"PA-34-200";"PIPER AIRCRAFT CORPORATION"
"HB-LEU";"PA-34-200";"PIPER AIRCRAFT CORPORATION"
"HB-LFP";"T310P";"CESSNA AIRCRAFT COMPANY"
"HB-LHA";"335";"CESSNA AIRCRAFT COMPANY"
"HB-LHW";"402B";"CESSNA AIRCRAFT COMPANY"
"HB-LIG";"PA-34-200T";"PIPER AIRCRAFT CORPORATION"
"HB-LKB";"PA-34-200T";"PIPER AIRCRAFT CORPORATION"
"HB-LKF";"340A";"CESSNA AIRCRAFT COMPANY"
"HB-LKM";"PA-34-200T";"PIPER AIRCRAFT CORPORATION"
"HB-LKU";"340A";"CESSNA AIRCRAFT COMPANY"
"HB-LLM";"PA-34-200T";"PIPER AIRCRAFT CORPORATION"
"HB-LML";"PA-34-200";"PIPER AIRCRAFT CORPORATION"
"HB-LNL";"PA-31T";"PIPER AIRCRAFT CORPORATION"
"HB-LNX";"PA-31T2";"PIPER AIRCRAFT CORPORATION"
"HB-LON";"DHC-6 SERIES 300";"DE HAVILLAND AIRCRAFT OF CANADA INC."
"HB-LOR";"PA-23-250";"PIPER AIRCRAFT CORPORATION"
"HB-LPZ";"P.68 B";"PARTENAVIA COSTRUZIONI AERONAUTICHE S.P.A."
"HB-LQJ";"PA-34-200";"PIPER AIRCRAFT CORPORATION"
"HB-LQM";"PA-34-220T";"PIPER AIRCRAFT CORPORATION"
"HB-LQP";"PA-31T1";"PIPER AIRCRAFT CORPORATION"
"HB-LQV";"DHC-6 SERIES 300";"DE HAVILLAND AIRCRAFT OF CANADA INC."
"HB-LQY";"PA-34-220T";"PIPER AIRCRAFT CORPORATION"
"HB-LRB";"DHC-6 SERIES 300";"DE HAVILLAND AIRCRAFT OF CANADA INC."
"HB-LRJ";"DHC-6 SERIES 300";"DE HAVILLAND AIRCRAFT OF CANADA INC."
"HB-LRN";"DHC-6 SERIES 300";"DE HAVILLAND AIRCRAFT OF CANADA INC."
"HB-LRO";"DHC-6 SERIES 300";"DE HAVILLAND AIRCRAFT OF CANADA INC."
"HB-LRQ";"DHC-6 SERIES 310";"DE HAVILLAND AIRCRAFT OF CANADA INC."
"HB-LRR";"DHC-6 SERIES 300";"DE HAVILLAND AIRCRAFT OF CANADA INC."
"HB-LRV";"PA-31T";"PIPER AIRCRAFT CORPORATION"
"HB-LRY";"PA-34-220T";"PIPER AIRCRAFT CORPORATION"
"HB-LSC";"PA-34-220T";"PIPER AIRCRAFT CORPORATION"
"HB-LSG";"PA-60-602P";"PIPER AIRCRAFT CORPORATION"
"HB-LSX";"414";"CESSNA AIRCRAFT COMPANY"
"HB-LSZ";"P2006T";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-LTG";"DHC-6 SERIES 300";"DE HAVILLAND AIRCRAFT OF CANADA INC."
"HB-LTK";"DA 42";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-LTS";"P.68 B";"PARTENAVIA COSTRUZIONI AERONAUTICHE S.P.A."
"HB-LTV";"DA 42";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-LTW";"DA 42 NG";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-LTY";"DA 42";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-LTZ";"P.180";"PIAGGIO AERO INDUSTRIES S.P.A."
"HB-LUA";"P.68 C";"VULCANAIR S.P.A."
"HB-LUB";"DHC-6 SERIES 300";"DE HAVILLAND AIRCRAFT OF CANADA INC."
"HB-LUC";"DHC-6 SERIES 300";"DE HAVILLAND AIRCRAFT OF CANADA INC."
"HB-LUD";"PA-60-700P";"PIPER AIRCRAFT CORPORATION"
"HB-LUE";"DHC-6 SERIES 300";"DE HAVILLAND AIRCRAFT OF CANADA INC."
"HB-LUF";"PA-31T";"PIPER AIRCRAFT CORPORATION"
"HB-LUH";"DA 42";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-LUJ";"DA 42";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-LUK";"DA 42";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-LUN";"P.68 C";"VULCANAIR S.P.A."
"HB-LUO";"DA 42";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-LUP";"DA 42";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-LUS";"P.180";"PIAGGIO AERO INDUSTRIES S.P.A."
"HB-LUT";"P.180";"PIAGGIO AERO INDUSTRIES S.P.A."
"HB-LUU";"P2006T";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-LUV";"T303";"CESSNA AIRCRAFT COMPANY"
"HB-LUW";"DA 42";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-LUX";"DHC-6 SERIES 400";"VIKING AIR LIMITED"
"HB-LUZ";"P.68 C";"VULCANAIR S.P.A."
"HB-LYA";"P.180";"PIAGGIO AERO INDUSTRIES S.P.A."
"HB-LYD";"P.180";"PIAGGIO AERO INDUSTRIES S.P.A."
"HB-LYR";"DHC-6 SERIES 300";"DE HAVILLAND AIRCRAFT OF CANADA INC."
"HB-LYY";"414A";"CESSNA AIRCRAFT COMPANY"
"HB-LYZ";"340A";"CESSNA AIRCRAFT COMPANY"
"HB-LZC";"340A";"CESSNA AIRCRAFT COMPANY"
"HB-LZH";"DA 42 NG";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-LZI";"340A";"CESSNA AIRCRAFT COMPANY"
"HB-LZR";"DA 42";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-LZT";"DA 42 NG";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-LZZ";"340A";"CESSNA AIRCRAFT COMPANY"
"HB-MAG";"PITTS S-2C";"AVIAT AIRCRAFT INC."
"HB-MDS";"YAK-55M";"YAKOVLEV AIRCRAFT CORPORATION"
"HB-MHW";"EA 300/SC";"EXTRA FLUGZEUGPRODUKTIONS- UND VERTRIEBS- GMBH"
"HB-MIM";"BÜ 133 C";"BÜCKER FLUGZEUGBAU GMBH"
"HB-MIP";"BÜ 133 C";"DORNIER-WERKE AG"
"HB-MIU";"BÜ 133 C";"DORNIER-WERKE AG"
"HB-MIZ";"BÜ 133 C";"DORNIER-WERKE AG"
"HB-MKH";"BÜ 133 C";"DORNIER-WERKE AG"
"HB-MKM";"BÜ 133 C";"DORNIER-WERKE AG"
"HB-MKN";"BÜ 133 C";"DORNIER-WERKE AG"
"HB-MKO";"BÜ 133 C";"BÜCKER FLUGZEUGBAU GMBH"
"HB-MKR";"BÜ 133 C";"DORNIER-WERKE AG"
"HB-MKZ";"BÜ 133 C";"DORNIER-WERKE AG"
"HB-MLG";"EA 300/SC";"EXTRA FLUGZEUGPRODUKTIONS- UND VERTRIEBS- GMBH"
"HB-MLV";"EA 300/LC";"EXTRA FLUGZEUGPRODUKTIONS- UND VERTRIEBS- GMBH"
"HB-MLZ";"XA42";"XTREMEAIR GMBH"
"HB-MSE";"PITTS S-2S";"AEROTEK INC."
"HB-MSL";"EA 300";"EXTRA FLUGZEUGBAU GMBH"
"HB-MSO";"SU-26 M";"SUKHOI COMPANY"
"HB-MSS";"SU-26 M";"SUKHOI COMPANY"
"HB-MSW";"EA 300/200";"EXTRA FLUGZEUGBAU GMBH"
"HB-MSX";"EA 300/L";"EXTRA FLUGZEUGBAU GMBH"
"HB-MTA";"EA 300/L";"EXTRA FLUGZEUGPRODUKTIONS- UND VERTRIEBS- GMBH"
"HB-MTB";"EA 300/200";"EXTRA FLUGZEUGBAU GMBH"
"HB-MTD";"EA 300/200";"EXTRA FLUGZEUGPRODUKTIONS- UND VERTRIEBS- GMBH"
"HB-MTE";"EA 300/SC";"EXTRA FLUGZEUGPRODUKTIONS- UND VERTRIEBS- GMBH"
"HB-MTI";"XA42";"XTREMEAIR GMBH"
"HB-MTJ";"EA 300/SC";"EXTRA FLUGZEUGPRODUKTIONS- UND VERTRIEBS- GMBH"
"HB-MTO";"EA 300/L";"EXTRA FLUGZEUGPRODUKTIONS- UND VERTRIEBS- GMBH"
"HB-MTP";"EA 300/SC";"EXTRA FLUGZEUGPRODUKTIONS- UND VERTRIEBS- GMBH"
"HB-MTR";"EA 300/SC";"EXTRA FLUGZEUGPRODUKTIONS- UND VERTRIEBS- GMBH"
"HB-MTS";"EA 300/LC";"EXTRA FLUGZEUGPRODUKTIONS- UND VERTRIEBS- GMBH"
"HB-MTT";"EA 300/SC";"EXTRA FLUGZEUGPRODUKTIONS- UND VERTRIEBS- GMBH"
"HB-NAB";"B.121 SERIES 2";"BEAGLE AIRCRAFT LIMITED"
"HB-NBB";"T67M";"SLINGSBY AVIATION LTD."
"HB-NBE";"T67M200";"SLINGSBY AVIATION LTD."
"HB-NCB";"112";"ROCKWELL INTERNATIONAL, COMMANDER AIRCRAFT DIVISION"
"HB-NCF";"114";"ROCKWELL INTERNATIONAL, COMMANDER AIRCRAFT DIVISION"
"HB-NCG";"112TC";"ROCKWELL INTERNATIONAL, COMMANDER AIRCRAFT DIVISION"
"HB-NCH";"114";"ROCKWELL INTERNATIONAL, COMMANDER AIRCRAFT DIVISION"
"HB-NCI";"114";"ROCKWELL INTERNATIONAL, COMMANDER AIRCRAFT DIVISION"
"HB-NCO";"114";"ROCKWELL INTERNATIONAL, COMMANDER AIRCRAFT DIVISION"
"HB-NCP";"114";"ROCKWELL INTERNATIONAL, COMMANDER AIRCRAFT DIVISION"
"HB-NCS";"114";"ROCKWELL INTERNATIONAL, COMMANDER AIRCRAFT DIVISION"
"HB-NCT";"112";"ROCKWELL INTERNATIONAL, COMMANDER AIRCRAFT DIVISION"
"HB-NCY";"112";"ROCKWELL INTERNATIONAL, COMMANDER AIRCRAFT DIVISION"
"HB-NDA";"112TC";"ROCKWELL INTERNATIONAL, COMMANDER AIRCRAFT DIVISION"
"HB-NDC";"114B";"COMMANDER AIRCRAFT COMPANY"
"HB-NDE";"114";"ROCKWELL INTERNATIONAL, COMMANDER AIRCRAFT DIVISION"
"HB-NDG";"114A";"ROCKWELL INTERNATIONAL, COMMANDER AIRCRAFT DIVISION"
"HB-NDL";"112B";"ROCKWELL INTERNATIONAL, COMMANDER AIRCRAFT DIVISION"
"HB-NDZ";"114B";"COMMANDER AIRCRAFT COMPANY"
"HB-OAG";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OAP";"PA-12";"PIPER AIRCRAFT CORPORATION"
"HB-OBF";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OBG";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OCI";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OCP";"J3C-65/L-4H";"PIPER AIRCRAFT CORPORATION"
"HB-OCR";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OCU";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-ODC";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-ODE";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-ODH";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-ODL";"PA-22-108";"PIPER AIRCRAFT CORPORATION"
"HB-ODN";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-ODW";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-ODX";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-ODZ";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OEI";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OEN";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OER";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OEY";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OFC";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OFK";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OFR";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OFW";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OGA";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OGC";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OGX";"PA-18";"PIPER AIRCRAFT CORPORATION"
"HB-OGZ";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OHC";"PA-28-180";"PIPER AIRCRAFT CORPORATION"
"HB-OHN";"PA-28-140";"PIPER AIRCRAFT CORPORATION"
"HB-OHT";"PA-28-140/160";"PIPER AIRCRAFT CORPORATION"
"HB-OHW";"PA-28R-200";"PIPER AIRCRAFT CORPORATION"
"HB-OIA";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OIC";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OID";"PA-28R-200";"PIPER AIRCRAFT CORPORATION"
"HB-OIN";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OIO";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OIX";"ROESGEN EPR 301";"AUGSBURGER"
"HB-OKB";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-OKD";"PA-28-180";"PIPER AIRCRAFT CORPORATION"
"HB-OKK";"PA-28R-200";"PIPER AIRCRAFT CORPORATION"
"HB-OKN";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OKP";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OKX";"PA-28-180";"PIPER AIRCRAFT CORPORATION"
"HB-OLW";"PA-18 ""180""";"PIPER AIRCRAFT CORPORATION"
"HB-OLX";"PA-18-180M";"PIPER AIRCRAFT CORPORATION"
"HB-OMF";"PA-32-300";"PIPER AIRCRAFT CORPORATION"
"HB-OMN";"PA-28-140";"PIPER AIRCRAFT CORPORATION"
"HB-OMP";"PA-28-140/160";"PIPER AIRCRAFT CORPORATION"
"HB-OMS";"PA-28-180";"PIPER AIRCRAFT CORPORATION"
"HB-OMV";"PA-18";"PIPER AIRCRAFT CORPORATION"
"HB-OMW";"PA-28-180";"PIPER AIRCRAFT CORPORATION"
"HB-ONA";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-ONE";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-ONG";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-ONH";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-ONW";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OPH";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-OPL";"PA-22-150";"PIPER AIRCRAFT CORPORATION"
"HB-OPP";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-OPU";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-OQA";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-OQB";"PA-18-180M";"PIPER AIRCRAFT CORPORATION"
"HB-OQG";"PA-28-151";"PIPER AIRCRAFT CORPORATION"
"HB-OQL";"PA-18";"PIPER AIRCRAFT CORPORATION"
"HB-OQN";"PA-28R-200";"PIPER AIRCRAFT CORPORATION"
"HB-OQR";"PA-28R-200";"PIPER AIRCRAFT CORPORATION"
"HB-OQS";"PA-28-151";"PIPER AIRCRAFT CORPORATION"
"HB-OQT";"PA-28-180";"PIPER AIRCRAFT CORPORATION"
"HB-OQU";"PA-28-140";"PIPER AIRCRAFT CORPORATION"
"HB-OQV";"PA-28-151";"PIPER AIRCRAFT CORPORATION"
"HB-ORA";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-ORH";"PA-18-180M";"PIPER AIRCRAFT CORPORATION"
"HB-ORK";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-ORL";"PA-18-180M";"PIPER AIRCRAFT CORPORATION"
"HB-ORM";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-ORN";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-ORT";"PA-18-180M";"PIPER AIRCRAFT CORPORATION"
"HB-ORV";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-ORW";"PA-18 ""180""";"PIPER AIRCRAFT CORPORATION"
"HB-ORY";"PA-18-180M";"PIPER AIRCRAFT CORPORATION"
"HB-ORZ";"PA-18-180M";"PIPER AIRCRAFT CORPORATION"
"HB-OSM";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OSW";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OSY";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OTG";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OTN";"PA-22-108";"PIPER AIRCRAFT CORPORATION"
"HB-OTR";"PA-22-150";"PIPER AIRCRAFT CORPORATION"
"HB-OTS";"PA-24-250";"PIPER AIRCRAFT CORPORATION"
"HB-OTW";"PA-24-250";"PIPER AIRCRAFT CORPORATION"
"HB-OUD";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OUE";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OUN";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OUP";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OUR";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OUS";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OVC";"PA-12";"PIPER AIRCRAFT CORPORATION"
"HB-OVE";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OVP";"PA-28-160";"PIPER AIRCRAFT CORPORATION"
"HB-OVR";"PA-24-250";"PIPER AIRCRAFT CORPORATION"
"HB-OVS";"PA-24-250";"PIPER AIRCRAFT CORPORATION"
"HB-OVT";"PA-28-180";"PIPER AIRCRAFT CORPORATION"
"HB-OVW";"PA-24-250";"PIPER AIRCRAFT CORPORATION"
"HB-OVX";"PA-28-180";"PIPER AIRCRAFT CORPORATION"
"HB-OWO";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OXD";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OXI";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OXL";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OXR";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OXX";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-OXY";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-OYB";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-OYH";"PA-28-140/160";"PIPER AIRCRAFT CORPORATION"
"HB-OYI";"PA-28-140/160";"PIPER AIRCRAFT CORPORATION"
"HB-OYM";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-OYW";"PA-28R-180";"PIPER AIRCRAFT CORPORATION"
"HB-OYX";"PA-28R-180";"PIPER AIRCRAFT CORPORATION"
"HB-OYZ";"PA-28R-180";"PIPER AIRCRAFT CORPORATION"
"HB-OZB";"PA-28-140";"PIPER AIRCRAFT CORPORATION"
"HB-OZC";"PA-18";"PIPER AIRCRAFT CORPORATION"
"HB-OZG";"PA-28-140";"PIPER AIRCRAFT CORPORATION"
"HB-OZU";"PA-28R-200";"PIPER AIRCRAFT CORPORATION"
"HB-OZV";"PA-28-180";"PIPER AIRCRAFT CORPORATION"
"HB-PAF";"PA-28-180";"PIPER AIRCRAFT CORPORATION"
"HB-PAR";"PA-18-180M";"PIPER AIRCRAFT CORPORATION"
"HB-PAT";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PAV";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PAW";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PAX";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PAY";"PA-18-150";"PIPER AIRCRAFT CORPORATION"
"HB-PBA";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PBB";"PA-28-151";"PIPER AIRCRAFT CORPORATION"
"HB-PBF";"PA-28R-201";"PIPER AIRCRAFT CORPORATION"
"HB-PBH";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PBK";"PA-32R-300";"PIPER AIRCRAFT CORPORATION"
"HB-PBO";"PA-28-235";"PIPER AIRCRAFT CORPORATION"
"HB-PBV";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PBW";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PBX";"PA-28R-200";"PIPER AIRCRAFT CORPORATION"
"HB-PCA";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PCC";"PA-28R-201T";"PIPER AIRCRAFT CORPORATION"
"HB-PCH";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-PCI";"PA-28-180";"PIPER AIRCRAFT CORPORATION"
"HB-PCM";"PA-18-180M";"PIPER AIRCRAFT CORPORATION"
"HB-PCN";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PCV";"PA-28-140/160";"PIPER AIRCRAFT CORPORATION"
"HB-PDI";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PDJ";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PDL";"PA-18-180M";"PIPER AIRCRAFT CORPORATION"
"HB-PDU";"PA-28RT-201";"PIPER AIRCRAFT CORPORATION"
"HB-PDV";"PA-28-236";"PIPER AIRCRAFT CORPORATION"
"HB-PDW";"PA-28RT-201T";"PIPER AIRCRAFT CORPORATION"
"HB-PDX";"PA-28RT-201T";"PIPER AIRCRAFT CORPORATION"
"HB-PEC";"PA-28-236";"PIPER AIRCRAFT CORPORATION"
"HB-PEH";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PEN";"PA-28-236";"PIPER AIRCRAFT CORPORATION"
"HB-PES";"PA-32R-301";"PIPER AIRCRAFT CORPORATION"
"HB-PEW";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PEY";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-PFA";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PFK";"PA-18-180M";"PIPER AIRCRAFT CORPORATION"
"HB-PFS";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PFW";"PA-25-235";"PIPER AIRCRAFT CORPORATION"
"HB-PFZ";"PA-28-236";"PIPER AIRCRAFT CORPORATION"
"HB-PGB";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PGE";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PGF";"PA-28RT-201T";"PIPER AIRCRAFT CORPORATION"
"HB-PGG";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-PGL";"PA-38-112";"PIPER AIRCRAFT CORPORATION"
"HB-PGM";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PGN";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-PGP";"PA-28-236";"PIPER AIRCRAFT CORPORATION"
"HB-PGX";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PGY";"PA-28-236";"PIPER AIRCRAFT CORPORATION"
"HB-PHC";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PHD";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-PHG";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PHM";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PHP";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PHT";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PHU";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PHV";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-PHW";"PA-28-236";"PIPER AIRCRAFT CORPORATION"
"HB-PHX";"PA-18-180M";"PIPER AIRCRAFT CORPORATION"
"HB-PHZ";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PIC";"PA-18-180M";"PIPER AIRCRAFT CORPORATION"
"HB-PIG";"PA-28R-201";"PIPER AIRCRAFT CORPORATION"
"HB-PIK";"PA-28R-201T";"PIPER AIRCRAFT CORPORATION"
"HB-PIL";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PIN";"PA-28RT-201";"PIPER AIRCRAFT CORPORATION"
"HB-PIV";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PIX";"PA-28RT-201";"PIPER AIRCRAFT CORPORATION"
"HB-PIZ";"PA-32R-301";"PIPER AIRCRAFT CORPORATION"
